old_id,name,usage_count,category_major,category_sub,drop_type,reason
12346,油最好,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12347,不是必须,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12348,金枪鱼沙拉,3,鱼虾蟹贝类,水产,processed,成品、半成品或加工食品
12354,鹰嘴豆浆,3,其他,饮品,processed,成品、半成品或加工食品
12356,茶匙鹽,3,其他,饮品,junk,不属于指南允许的基础原生食材类别
12357,千层派皮,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12359,一人,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12361,多少秋葵,3,蔬菜类及其制品,蔬菜,junk,数量或单位残留且无法可靠恢复原食材
12362,三角芝士,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12363,西施骨,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12366,菲达奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12368,大小面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12370,来源民间方,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12371,金煌芒,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12372,打奶泡器,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12373,纯度巧克力,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12375,灌肠机,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12378,姜皮,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12379,火腿薄片,3,畜肉类及其制品,畜肉,processed,加工肉制品
12384,碎培根,3,畜肉类及其制品,畜肉,processed,加工肉制品
12385,味肉肠,3,畜肉类及其制品,畜肉,processed,成品、半成品或加工食品
12388,生葵花籽,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12390,朝天椒干辣椒,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12391,定克面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12392,豆乳布丁,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12393,汽泡水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12394,黄瓜沙拉,3,蔬菜类及其制品,蔬菜,processed,成品、半成品或加工食品
12398,麻腐,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12400,色拌饭香松,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12401,人吃话,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12402,巧克力干纳许,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12403,平盘,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12406,自己擀饺子皮,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12407,团子,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12408,果脯类,3,其他类,其他,processed,成品、半成品或加工食品
12410,家咖啡机,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12415,广式腊味,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12416,甜品台,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12417,巴氏鲜奶,3,其他类,其他,processed,饮料、酒类或乳制品不属于本版核心原生食材
12418,谷类,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12420,现煮米饭,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12422,包子料,3,其他类,其他,processed,成品、半成品或加工食品
12423,葡萄干和蔓越莓干,3,水果类及其制品,水果,processed,成品、半成品或加工食品
12424,金钱肚,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12425,油条预拌粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12426,低劲面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12428,迷迭香料,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12429,生亚麻籽,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12430,油条酥,3,其他类,其他,processed,成品、半成品或加工食品
12432,口味泡菜,3,调味,其他,processed,成品、半成品或加工食品
12433,鱼一斤,3,鱼虾蟹贝类,水产,junk,数量或单位残留且无法可靠恢复原食材
12434,嘜奶酱浓情太妃味,3,调味,其他,junk,不属于指南允许的基础原生食材类别
12439,塊豆腐,3,干豆类及其制品,豆制品,processed,豆制品或淀粉制品（严格模式排除）
12440,储酿器,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12441,各种葡萄干,3,水果类及其制品,水果,processed,成品、半成品或加工食品
