id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason
1369,五花肉或三层肉,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1370,五花肉或瘦肉,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1371,五花肉薄片,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1372,五花肉高汤,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1373,五谷营养粉,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1374,五量馄饨皮,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1375,五香大料,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1376,五香干,processed,,扩展食材,processed,0,1,verified,2,加工、半成品、乳制品或饮品
1377,五香粉,seasoning,,扩展食材,seasoning,0,1,verified,119,调味料
1378,五香粉或者花椒粉,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
