id,original_name,cleaned_name,changed,rules
125991,彩椒里的小心心——不用模具的爱心餐,彩椒里的小心心——不用模具的爱心餐,0,未修改
126013,炒竹笋（糊辣荔枝味）,炒竹笋,1,删除括号说明
126053,凉拌西兰花,凉拌西兰花,0,未修改
126062,炒四丁,炒四丁,0,未修改
126077,莴笋炒鸡蛋,莴笋炒鸡蛋,0,未修改
126107,竹荪肉片汤,竹荪肉片汤,0,未修改
126130,花甲粉丝汤,花甲粉丝汤,0,未修改
126135,萝卜丝蛋饼,萝卜丝蛋饼,0,未修改
126140,菠萝鸡块,菠萝鸡块,0,未修改
126162,健康低卡蔬菜汤—3种搭配，拯救懒人吃货【北鼎Mini K养生壶】,低卡蔬菜汤—3种搭配,1,删除营销定语；删除宣传后句
126182,东北家常炖酸菜,东北家常炖酸菜,0,未修改
126204,🌹豌豆牛肉粒🍀鲜嫩可口，方便快手,豌豆牛肉粒鲜嫩可口,1,删除宣传后句；删除装饰符号
126225,蒸排骨土豆,蒸排骨土豆,0,未修改
126251,零失败、简单、快手下饭菜：豆豉鲮鱼炒辣椒🌶️,、简单、快手下饭菜：豆豉鲮鱼炒辣椒️,1,删除营销定语；删除装饰符号
126266,洋葱炒鸡杂,洋葱炒鸡杂,0,未修改
126294,沙葛白菜粉丝煲,沙葛白菜粉丝煲,0,未修改
126352,清蒸兴城多宝鱼,清蒸兴城多宝鱼,0,未修改
126353,百吃不厌的青椒土豆丝,百吃不厌的青椒土豆丝,0,未修改
126362,苦瓜酿肉黄豆汤,苦瓜酿肉黄豆汤,0,未修改
126381,蛋煎杏鲍菇,蛋煎杏鲍菇,0,未修改
126387,丝瓜炒鸡蛋(两岁小孩食用版本),丝瓜炒鸡蛋,1,删除括号说明
126424,小炒大豆蛋白,小炒大豆蛋白,0,未修改
126469,虎皮尖椒肉,虎皮尖椒肉,0,未修改
126479,"芝心鳗鱼杂粮饭团
(保鲜袋捏饭团版)",芝心鳗鱼杂粮饭团,1,删除括号说明
126529,炝炒春芽儿菜,炝炒春芽儿菜,0,未修改
126532,泡椒泡姜炒猪肝,泡椒泡姜炒猪肝,0,未修改
126542,雪菜鱿鱼,雪菜鱿鱼,0,未修改
126558,【孕妇食谱】冬瓜虾皮汤，补钙又利尿，怎一个鲜美了得！,冬瓜虾皮汤,1,删除开头标签；删除宣传后句
126576,青椒炒鱿鱼,青椒炒鱿鱼,0,未修改
126591,蒜香米苋,蒜香米苋,0,未修改
126625,酿豆角 好吃下饭,酿豆角 好吃下饭,0,未修改
126637,水煮荷包蛋,水煮荷包蛋,0,未修改
126652,干豆腐炒黑白菜（勾氏私房菜）,干豆腐炒黑白菜,1,删除括号说明
126653,糯米鸡翅,糯米鸡翅,0,未修改
126697,杏鲍菇小炒肉,杏鲍菇小炒肉,0,未修改
126726,咖喱鸡肉饭(从不修图，喜欢真实的请关注我),咖喱鸡肉饭,1,删除括号说明
126728,卤肉饭,卤肉饭,0,未修改
126735,胡萝卜金针奶酪卷&京酱肉丝,胡萝卜金针奶酪卷&京酱肉丝,0,未修改
126739,减餐又可下饭的胡萝卜炒鸡丝,减餐又可下饭的胡萝卜炒鸡丝,0,未修改
126745,洋葱炒肥牛（1人食）,洋葱炒肥牛,1,删除括号说明
126765,凉拌皮蛋黄瓜,凉拌皮蛋黄瓜,0,未修改
126779,东北家炖刀鱼炖带鱼,东北家炖刀鱼炖带鱼,0,未修改
126798,香煎黄花鱼,香煎黄花鱼,0,未修改
126868,黄瓜平菇鸡蛋炒肉片,黄瓜平菇鸡蛋炒肉片,0,未修改
126937,『月澜姐』叉烧肉 ▏在家也能做出餐馆的味道和卖相,『月澜姐』叉烧肉 ▏在家也能做出餐馆的味道和卖相,0,未修改
126982,鸡肉炖土豆,鸡肉炖土豆,0,未修改
126992,简易锅边糊,简易锅边糊,0,未修改
127005,韩式嫩豆腐汤,韩式嫩豆腐汤,0,未修改
127009,芦笋培根炒鸡蛋,芦笋培根炒鸡蛋,0,未修改
127034,饭扫光-鸡米芽菜,饭扫光-鸡米芽菜,0,未修改
127044,干煸大虾,干煸大虾,0,未修改
127064,蒜泥蒸贝贝南瓜,蒜泥蒸贝贝南瓜,0,未修改
127081,牙签牛肉,牙签牛肉,0,未修改
127082,米饭杀手蒜苔炒肉好吃又下饭,米饭杀手蒜苔炒肉好吃又下饭,0,未修改
127216,清炒木耳菜,清炒木耳菜,0,未修改
127232,光盘辣椒煎蛋,光盘辣椒煎蛋,0,未修改
127255,营养超级齐全的菌菇肥牛煲,齐全的菌菇肥牛煲,1,删除营销定语
127270,蒜蓉扇贝蒸粉丝,蒜蓉扇贝蒸粉丝,0,未修改
127304,好吃不胖的口水鸡和口水鸡拌面,不胖的口水鸡和口水鸡拌面,1,删除营销定语
127323,鲍鱼粥,鲍鱼粥,0,未修改
127331,豆芽炖粉条,豆芽炖粉条,0,未修改
127348,韭菜猪肉馅饼,韭菜猪肉馅饼,0,未修改
127352,草头猪肝【曼食快语】,草头猪肝【曼食快语】,0,未修改
127379,咖喱土豆鸡块,咖喱土豆鸡块,0,未修改
127386,金华火腿炒芦笋,金华火腿炒芦笋,0,未修改
127398,三鲜疙瘩汤,三鲜疙瘩汤,0,未修改
127421,川香辣子鸡（又酥又辣又过瘾）,川香辣子鸡,1,删除括号说明
127439,拌三丝,拌三丝,0,未修改
127475,芹菜炒土豆条,芹菜炒土豆条,0,未修改
127486,家族秘菜下饭神器❗❗香辣炒鸡！简单好吃！（无鸡精）,家族秘菜下饭神器香辣炒鸡,1,删除括号说明；删除宣传后句；删除装饰符号
127492,松花菜焖鸡肉,松花菜焖鸡肉,0,未修改
127498,青椒油豆腐乌冬面,青椒油豆腐乌冬面,0,未修改
127540,西兰花芦笋炒肉片,西兰花芦笋炒肉片,0,未修改
127551,冬瓜排骨汤,冬瓜排骨汤,0,未修改
127552,新手必备！ 超下饭快手菜 蚝油豆腐 家常豆腐 简单好做 鲜香十足,新手必备,1,删除宣传后句
127561,土豆香菇洋葱炖肉－微烹宝版,土豆香菇洋葱炖肉－微烹宝版,0,未修改
