old_id,name,usage_count,category_major,possible_candidates,sample_raw_text,sample_dish_ids,reason
870,湿面,21,谷类及其制品,,适量湿面 || 2千克湿面 || 750 克湿面,43755|69920|87246,可能是原生食材，但频次、命名或类别证据不足
872,泡面,20,谷类及其制品,,1包泡面 || 泡面 || 一包泡面,161|3463|6438|18887,可能是原生食材，但频次、命名或类别证据不足
885,后腿肉,20,禽肉类及其制品,,一块后腿肉 || 200克后腿肉 || 2斤后腿肉（肥瘦比例2:8）,5700|12260|19004,名称过于宽泛或形态含义不明确，禁止猜测映射
899,素菜,20,蔬菜类及其制品,,150g素菜 || 100-200g素菜 || 素菜,986|2176|17851,名称过于宽泛或形态含义不明确，禁止猜测映射
901,荞麦粉,20,谷类及其制品,,100克荞麦粉 || 50克荞麦粉 || 荞麦粉,1177|6327|9135,可能是原生食材，但频次、命名或类别证据不足
907,鱼片,20,鱼虾蟹贝类,,一斤鱼片 || 300g鱼片 || 300克鱼片,2830|3986|4191,名称过于宽泛或形态含义不明确，禁止猜测映射
909,鸡块,20,禽肉类及其制品,鸡,600克鸡块 || 适量鸡块 || 鸡块,3667|5509|7913|8206,形态描述存在，但原始食材无法确定
918,面饼,20,谷类及其制品,,面饼 || 2块（100克）面饼（非油炸） || 一个面饼,1895|2566|4375,可能是原生食材，但频次、命名或类别证据不足
923,葱花香菜,20,蔬菜类及其制品,葱|香菜,2勺葱花香菜 || 适量葱花香菜 || 一把葱花香菜,8334|13790|19133|23731|23995|42316|64356,明确包含多个独立食材；关系保守保留原文，克数不拆分
929,面面,20,谷类及其制品,,,,可能是原生食材，但频次、命名或类别证据不足
933,手工面,20,谷类及其制品,,一人份手工面 || 手工面 || 1人份手工面,16401|31808|47260,可能是原生食材，但频次、命名或类别证据不足
938,青柠檬,19,水果类及其制品,,一只青柠檬 || 1个青柠檬 || 一个青柠檬,340|714|868,可能是原生食材，但频次、命名或类别证据不足
939,羊蝎子,19,畜肉类及其制品,,一整根羊蝎子 || 1.5斤羊蝎子 || 六块羊蝎子,433|594|2689,可能是原生食材，但频次、命名或类别证据不足
941,绿辣椒,19,蔬菜类及其制品,,2个绿辣椒 || 5根绿辣椒 || 半个绿辣椒,633|6422|10606,可能是原生食材，但频次、命名或类别证据不足
945,红黄彩椒,19,蔬菜类及其制品,,红黄彩椒 || 适量红黄彩椒 || 1个红黄彩椒,1869|5701|67970|92030,可能是原生食材，但频次、命名或类别证据不足
949,牛腱,19,畜肉类及其制品,,3000克牛腱（前腿最好） || 1.5斤牛腱 || 1斤牛腱,2884|6618|6877,可能是原生食材，但频次、命名或类别证据不足
954,鸡大腿,19,禽肉类及其制品,,2只鸡大腿 || 500g鸡大腿 || 鸡大腿,5733|7492|11609|14273,可能是原生食材，但频次、命名或类别证据不足
955,甜椒粉,19,蔬菜类及其制品,,1克甜椒粉（选用 最后撒上 增色） || 1勺甜椒粉 || 1大勺（20ml）甜椒粉（paprika）,6071|9470|13542,可能是原生食材，但频次、命名或类别证据不足
956,瓜子,19,坚果种子类,,60克瓜子 || 一把瓜子 || 60g瓜子,6411|7091|24631,可能是原生食材，但频次、命名或类别证据不足
961,糯米小圆子,19,谷类及其制品,,糯米小圆子 || 50g (根据自己喜好添加)糯米小圆子 || 适量糯米小圆子,8996|19570|25384,可能是原生食材，但频次、命名或类别证据不足
967,梅头肉,19,畜肉类及其制品,,250克梅头肉 || 适量梅头肉 || 600克梅头肉,21386|33996|38758,可能是原生食材，但频次、命名或类别证据不足
970,小红辣椒,19,蔬菜类及其制品,,,,可能是原生食材，但频次、命名或类别证据不足
973,白面,19,谷类及其制品,,240白面 || 2份白面 || 白面,1991|2264|5164,可能是原生食材，但频次、命名或类别证据不足
976,老面,19,谷类及其制品,,36克老面（主面团） || 老面 || 80g老面,3063|3674|4480,可能是原生食材，但频次、命名或类别证据不足
981,芋泥,19,薯类淀粉及其制品,,芋泥 || #芋泥 || 半个芋泥,1010|7425|9823,可能是原生食材，但频次、命名或类别证据不足
983,美人椒,19,蔬菜类及其制品,,2根美人椒 || 3根美人椒 || 美人椒,11066|16941|20327,可能是原生食材，但频次、命名或类别证据不足
984,大蒜头,19,蔬菜类及其制品,,,,可能是原生食材，但频次、命名或类别证据不足
987,南姜,19,蔬菜类及其制品,,1块南姜 || 1个南姜 || 1大块南姜,714|3238|10611,可能是原生食材，但频次、命名或类别证据不足
988,时蔬,19,其他类,,适量时蔬 || 随意时蔬 || 100克时蔬,2925|4152|5186|11339,名称过于宽泛或形态含义不明确，禁止猜测映射
990,白芸豆,19,干豆类及其制品,,白芸豆 || 1把白芸豆 || 55g白芸豆,570|1920|2021,可能是原生食材，但频次、命名或类别证据不足
991,欧芹叶,19,蔬菜类及其制品,,适量欧芹叶 || 20克欧芹叶 || 欧芹叶,8249|10387|17789,可能是原生食材，但频次、命名或类别证据不足
992,头蒜,19,蔬菜类及其制品,,一小头蒜 || 一大头蒜 || 一整头蒜,9510|16681|17264,可能是原生食材，但频次、命名或类别证据不足
993,土豆土豆,19,干豆类及其制品,,6个小土豆土豆 || 小土豆五个土豆 || 一个大土豆土豆,38952|50548|51981,可能是原生食材，但频次、命名或类别证据不足
994,姜片葱,19,蔬菜类及其制品,,,,可能是原生食材，但频次、命名或类别证据不足
995,干葱,19,蔬菜类及其制品,,2小瓣干葱 || 500克干葱 || 1颗干葱,7799|14412|28351,可能是原生食材，但频次、命名或类别证据不足
996,葱花蒜,19,蔬菜类及其制品,,,,可能是原生食材，但频次、命名或类别证据不足
997,时令蔬菜,18,蔬菜类及其制品,,时令蔬菜 || 适量时令蔬菜 || 350克时令蔬菜（生菜、油麦菜、豆苗等）,104|31254|63085|66185,可能是原生食材，但频次、命名或类别证据不足
999,椰子水,18,水果类及其制品,,180毫升椰子水 || 适量椰子水 || 椰子水,253|8387|8412,可能是原生食材，但频次、命名或类别证据不足
1003,洋白菜,18,蔬菜类及其制品,,洋白菜 || 一棵洋白菜 || 100g洋白菜,948|9193|16488,可能是原生食材，但频次、命名或类别证据不足
1004,梅肉,18,畜肉类及其制品,,200g梅肉 || 梅肉，姜片 || 几片梅肉,1028|1266|10601,可能是原生食材，但频次、命名或类别证据不足
1005,羊腿,18,畜肉类及其制品,,4只羊腿 || 1只羊腿 || 2只羊腿,1474|2359|4291,可能是原生食材，但频次、命名或类别证据不足
1007,面线,18,谷类及其制品,,一把面线 || 适量面线 || 150克面线,1771|9408|40303,可能是原生食材，但频次、命名或类别证据不足
1008,青菜叶,18,蔬菜类及其制品,,若干片青菜叶 || 几片青菜叶 || 一小把青菜叶,1815|1959|9212,可能是原生食材，但频次、命名或类别证据不足
1009,肉汤,18,畜肉类及其制品,,小半碗肉汤 || 肉汤 || 3碗肉汤,8116|11059|11104,可能是原生食材，但频次、命名或类别证据不足
1011,牛腱子肉,18,畜肉类及其制品,,1kg牛腱子肉 || 1500克牛腱子肉 || 2400g牛腱子肉,2425|16464|20197,可能是原生食材，但频次、命名或类别证据不足
