alias_name,catalog_ingredient_id,canonical_name,usage_count,source
一大坨大蒜,861,一大坨大蒜,1,dish_ingredients.raw_name
一大大勺浓缩橙汁儿,862,一大大勺浓缩橙汁儿,1,dish_ingredients.raw_name
一大头蒜,2,蒜,1,dish_ingredients.raw_name
一大撮虾皮,863,一大撮虾皮,1,dish_ingredients.raw_name
一大朵平菇,118,平菇,2,dish_ingredients.raw_name
一大棵生菜,864,一大棵生菜,1,dish_ingredients.raw_name
一大段葱葱,865,一大段葱葱,1,dish_ingredients.raw_name
一大汤勺,866,一大汤勺,1,dish_ingredients.raw_name
一大汤勺酸菜,867,一大汤勺酸菜,1,dish_ingredients.raw_name
一大滴蚝油,868,一大滴蚝油,1,dish_ingredients.raw_name
一大盆豆芽,869,一大盆豆芽,1,dish_ingredients.raw_name
一大盘豆芽,870,一大盘豆芽,1,dish_ingredients.raw_name
一大碗凉白开,871,一大碗凉白开,1,dish_ingredients.raw_name
一大碗木耳,33,木耳,1,dish_ingredients.raw_name
一大碗热水,872,一大碗热水,1,dish_ingredients.raw_name
一大碗牛奶,873,一大碗牛奶,1,dish_ingredients.raw_name
一大碗猪骨高汤,874,一大碗猪骨高汤,1,dish_ingredients.raw_name
一大碗肉汤或者白水,875,一大碗肉汤或者白水,1,dish_ingredients.raw_name
一大碗面粉,876,一大碗面粉,1,dish_ingredients.raw_name
一大碗饭,877,一大碗饭,1,dish_ingredients.raw_name
一大碗魔芋粉丝,878,一大碗魔芋粉丝,1,dish_ingredients.raw_name
一定要,879,一定要,1,dish_ingredients.raw_name
一定要是小葱没可不放小葱末,880,一定要是小葱没可不放小葱末,1,dish_ingredients.raw_name
一对猪腰,881,一对猪腰,1,dish_ingredients.raw_name
一小包榨菜,882,一小包榨菜,1,dish_ingredients.raw_name
一小包泡椒,883,一小包泡椒,1,dish_ingredients.raw_name
一小包火锅底料,884,一小包火锅底料,1,dish_ingredients.raw_name
一小嘬糖,885,一小嘬糖,1,dish_ingredients.raw_name
一小坨姜,886,一小坨姜,1,dish_ingredients.raw_name
一小小勺鲍鱼汁,887,一小小勺鲍鱼汁,1,dish_ingredients.raw_name
一小小块葱,1,葱,1,dish_ingredients.raw_name
一小截儿胡萝卜,888,一小截儿胡萝卜,1,dish_ingredients.raw_name
一小截大葱,889,一小截大葱,3,dish_ingredients.raw_name
一小截桂皮,890,一小截桂皮,1,dish_ingredients.raw_name
一小扎粉丝,891,一小扎粉丝,1,dish_ingredients.raw_name
一小扎韭菜,48,韭菜,1,dish_ingredients.raw_name
一小捆四季豆,136,四季豆,1,dish_ingredients.raw_name
一小捆芸豆,186,芸豆,1,dish_ingredients.raw_name
一小捆蒜苗,80,蒜苗,1,dish_ingredients.raw_name
一小捆青菜,892,一小捆青菜,1,dish_ingredients.raw_name
一小捧九层塔,893,一小捧九层塔,1,dish_ingredients.raw_name
一小撮丁香,894,一小撮丁香,1,dish_ingredients.raw_name
一小撮三七,895,一小撮三七,1,dish_ingredients.raw_name
一小撮五香粉,896,一小撮五香粉,1,dish_ingredients.raw_name
一小撮可不放盐,897,一小撮可不放盐,1,dish_ingredients.raw_name
一小撮姜,3,姜,1,dish_ingredients.raw_name
一小撮小茴香,898,一小撮小茴香,1,dish_ingredients.raw_name
一小撮干辣椒,899,一小撮干辣椒,1,dish_ingredients.raw_name
一小撮或更多孜然粒,900,一小撮或更多孜然粒,1,dish_ingredients.raw_name
一小撮或盐,901,一小撮或盐,1,dish_ingredients.raw_name
一小撮海盐,902,一小撮海盐,1,dish_ingredients.raw_name
一小撮淀粉,903,一小撮淀粉,1,dish_ingredients.raw_name
一小撮玉米粒,904,一小撮玉米粒,1,dish_ingredients.raw_name
一小撮生姜末,3,姜,1,dish_ingredients.raw_name
一小撮白砂糖,905,一小撮白砂糖,1,dish_ingredients.raw_name
