id,name,usage_count,reason
534,奶酪芝士,17,烘焙或乳制加工食品
535,可可,17,不属于指南允许的基础原生食材类别
536,巧克力饼干,17,烘焙或乳制加工食品
537,杂蔬,17,不属于指南允许的基础原生食材类别
538,水晶粉,17,不属于指南允许的基础原生食材类别
539,海苔肉松,16,加工肉制品
540,温牛奶,16,饮料、酒类或乳制品不属于本版核心原生食材
541,蔓越梅,16,不属于指南允许的基础原生食材类别
542,单山蘸水,16,不属于指南允许的基础原生食材类别
543,南乳,16,不属于指南允许的基础原生食材类别
544,香辛料,16,不属于指南允许的基础原生食材类别
545,虾滑,16,成品、半成品或加工食品
546,干面粉,16,成品、半成品或加工食品
547,火锅蘸料,16,不属于指南允许的基础原生食材类别
548,鸡肉肠,16,成品、半成品或加工食品
549,任意水果,16,不属于指南允许的基础原生食材类别
550,红茶茶叶,16,饮料、酒类或乳制品不属于本版核心原生食材
