dish_id,ingredient_id,source_ingredient_id,match_type
4070,19,19,direct
4087,2,2,direct
4107,3,3,direct
4107,29,29,direct
4150,1,1,direct
4150,2,2,direct
4150,36,36,direct
4150,91,91,direct
4154,2,2,direct
4154,3,3,direct
4154,11,11,direct
4154,24,24,direct
4185,1,1,direct
4185,4,37,ancestor
4185,37,37,direct
4185,49,49,direct
4185,85,85,direct
4190,2,2,direct
4190,7,7,direct
4190,9,9,direct
4190,17,17,direct
4190,90,90,direct
4223,1,1,direct
4223,7,7,direct
4223,134,134,direct
4223,199,199,direct
4223,254,254,direct
4227,2,2,direct
4227,91,91,direct
4227,110,110,direct
4227,142,142,direct
4246,2,2,direct
4246,3,3,direct
4246,80,80,direct
4284,1,1,direct
4284,2,2,direct
4284,3,3,direct
4284,497,497,direct
4316,12,12,direct
4322,5,5,direct
4322,6,6,direct
4322,19,19,direct
4322,20,20,direct
4322,24,589,ancestor
4322,76,76,direct
4322,163,163,direct
4322,589,589,direct
4327,2,2,direct
4327,3,3,direct
4327,80,80,direct
4368,1,1,direct
4368,2,2,direct
4368,254,254,direct
4374,1,1,direct
4374,2,2,direct
4374,3,3,direct
4374,12,12,direct
4384,1,1,direct
4384,3,3,direct
4384,4,10,ancestor
4384,7,7,direct
4384,10,10,direct
4384,28,28,direct
4384,29,29,direct
4390,24,71,ancestor
4390,31,31,direct
4390,71,71,direct
4391,8,8,direct
4391,80,80,direct
4391,184,184,direct
4400,3,3,direct
4430,1,1,direct
4430,2,2,direct
4450,3,3,direct
4450,21,21,direct
4450,24,24,direct
4450,57,57,direct
4457,2,2,direct
4457,7,7,direct
4457,17,17,direct
4489,1,1,direct
4489,3,3,direct
4489,4,10,ancestor
4489,10,10,direct
4537,14,14,direct
4537,590,590,direct
4569,3,3,direct
4569,4,339,ancestor
4569,13,13,direct
4569,32,339,ancestor
4569,339,339,direct
4602,4,4,direct
4602,5,5,direct
4620,1,1,direct
4620,2,2,direct
4620,3,3,direct
4620,4,10,ancestor
4620,10,10,direct
4620,50,50,direct
4631,2,2,direct
4631,3,3,direct
4631,5,5,direct
4631,48,48,direct
4631,56,56,direct
4631,59,59,direct
4644,3,3,direct
4644,57,57,direct
4655,7,7,direct
4655,96,96,direct
4683,6,6,direct
4683,103,103,direct
4683,138,138,direct
4707,30,30,direct
4707,65,65,direct
4720,5,5,direct
4720,244,244,direct
4750,1,1,direct
4750,2,2,direct
4750,3,3,direct
4750,18,18,direct
4758,4,10,ancestor
4758,10,10,direct
4766,2,2,direct
4766,3,3,direct
4766,261,261,direct
4777,46,46,direct
4777,70,70,direct
4777,333,333,direct
4806,3,3,direct
4806,9,9,direct
4806,126,126,direct
4821,584,584,direct
4851,9,9,direct
4851,83,83,direct
4901,1,1,direct
4901,11,11,direct
4901,83,83,direct
4906,2,2,direct
4906,6,6,direct
4906,29,29,direct
4906,118,118,direct
4915,2,2,direct
4915,3,3,direct
4915,15,15,direct
4915,24,15,ancestor
4915,104,104,direct
4958,64,64,direct
4975,1,1,direct
4975,2,2,direct
4975,5,5,direct
4975,6,6,direct
4975,8,8,direct
4975,12,12,direct
4975,17,17,direct
5018,2,2,direct
5018,3,3,direct
5047,2,2,direct
5047,3,3,direct
5047,7,7,direct
5047,27,27,direct
5047,79,79,direct
5047,92,92,direct
5056,1,1,direct
5056,2,2,direct
5056,3,3,direct
5056,4,204,ancestor
5056,9,9,direct
5056,11,11,direct
5056,18,18,direct
5056,204,204,direct
5117,1,1,direct
5117,3,3,direct
5117,52,52,direct
5123,2,2,direct
5123,254,254,direct
5128,20,20,direct
5146,46,46,direct
5146,147,147,direct
5147,1,1,direct
5147,3,3,direct
5147,5,5,direct
5147,6,6,direct
5147,23,23,direct
5147,33,33,direct
5147,58,58,direct
5217,6,6,direct
5217,7,7,direct
5217,11,11,direct
5217,19,19,direct
5245,7,7,direct
5272,1,1,direct
5272,2,2,direct
5272,3,3,direct
5272,147,147,direct
5296,3,3,direct
5296,4,37,ancestor
5296,37,37,direct
5296,194,194,direct
5317,7,7,direct
5343,2,2,direct
5343,264,264,direct
5356,1,1,direct
5356,2,2,direct
5356,93,93,direct
5375,3,3,direct
5375,277,277,direct
5375,292,277,ancestor
5418,1,1,direct
5418,3,3,direct
5432,24,212,ancestor
5432,70,70,direct
5432,212,212,direct
5434,5,5,direct
5434,17,17,direct
5438,1,1,direct
5438,41,41,direct
5438,495,495,direct
5438,590,41,ancestor
5490,3,3,direct
5490,258,258,direct
5490,340,340,direct
5554,3,3,direct
5554,21,21,direct
5554,170,170,direct
5554,333,333,direct
5569,5,5,direct
5569,33,33,direct
5569,74,74,direct
5602,4,37,ancestor
5602,5,5,direct
5602,7,7,direct
5602,17,17,direct
5602,37,37,direct
5602,76,76,direct
5607,1,1,direct
5607,2,2,direct
5607,46,46,direct
5608,58,58,direct
5608,106,106,direct
5627,2,2,direct
5627,3,3,direct
5627,4,10,ancestor
5627,10,10,direct
5627,11,11,direct
5631,284,284,direct
5651,2,2,direct
5651,14,14,direct
5663,1,1,direct
5663,2,2,direct
5663,3,3,direct
5663,12,12,direct
5702,1,1,direct
5702,3,3,direct
5709,2,2,direct
5711,6,6,direct
5711,60,60,direct
5711,97,97,direct
5748,332,332,direct
5789,1,1,direct
5789,15,15,direct
5789,24,15,ancestor
5789,70,70,direct
5811,109,109,direct
5811,229,229,direct
5821,4,10,ancestor
5821,10,10,direct
5823,1,1,direct
5823,2,2,direct
5823,3,3,direct
5823,4,215,ancestor
5823,6,6,direct
5823,33,33,direct
5823,215,215,direct
5823,220,220,direct
5824,1,1,direct
5824,7,7,direct
5824,14,14,direct
5827,3,3,direct
5827,91,91,direct
5827,117,117,direct
5828,2,2,direct
5828,7,7,direct
5828,11,11,direct
5849,1,1,direct
5849,2,2,direct
5849,3,3,direct
5849,4,37,ancestor
5849,11,11,direct
5849,37,37,direct
5920,1,1,direct
5920,3,3,direct
5920,7,7,direct
5927,80,80,direct
5945,352,352,direct
5974,1,1,direct
5974,12,12,direct
6008,1,1,split
6008,2,2,split
6008,7,7,direct
6053,2,2,direct
6053,3,3,direct
6141,2,2,direct
6141,3,3,direct
6141,92,92,direct
6168,2,2,direct
6204,1,1,direct
6204,3,3,direct
6204,4,10,ancestor
6204,10,10,direct
6206,5,5,direct
6206,11,11,direct
6206,26,26,direct
6206,78,78,direct
6218,2,2,direct
6218,3,3,direct
6218,156,156,direct
6228,2,2,direct
6228,3,3,direct
6228,5,5,direct
6228,8,82,ancestor
6228,12,12,direct
6228,14,14,direct
6228,82,82,direct
6231,1,1,direct
6231,356,356,direct
6231,590,356,ancestor
6236,14,14,direct
6243,1,1,direct
6243,2,2,direct
6243,3,3,direct
6243,17,17,direct
6243,27,27,direct
6243,58,58,direct
6243,80,80,direct
6243,117,117,direct
6243,228,228,direct
6243,489,489,direct
6243,490,490,direct
6273,2,2,direct
6273,44,44,direct
6284,11,11,direct
6284,12,12,direct
6284,110,110,direct
6307,1,1,direct
6307,11,11,direct
6309,1,1,direct
6309,7,7,direct
6309,14,14,direct
6309,15,15,direct
6309,24,15,ancestor
6310,3,3,direct
6332,1,1,direct
6332,3,3,direct
6332,57,57,direct
6332,127,127,direct
6372,4,4,direct
6372,12,12,direct
6390,7,7,direct
6390,547,547,direct
6411,16,16,direct
6411,25,25,direct
6411,26,26,direct
6411,38,38,direct
6411,312,312,direct
6416,5,5,direct
6424,3,3,direct
6424,4,10,ancestor
6424,7,7,direct
6424,10,10,direct
6468,1,1,direct
6468,3,3,direct
6468,126,126,direct
6490,76,76,direct
6520,19,19,direct
6520,138,138,direct
6529,24,24,direct
6532,7,7,direct
6532,36,36,direct
6532,483,483,direct
6535,2,2,direct
6535,590,590,direct
6591,1,1,direct
6591,2,2,direct
6591,324,324,direct
6687,2,2,direct
6687,5,5,direct
6687,69,69,direct
6698,1,1,direct
6698,236,236,direct
6699,1,1,direct
6699,2,2,direct
6699,4,4,direct
6699,12,12,direct
6699,110,110,direct
6721,2,2,direct
6721,3,3,direct
6721,6,6,direct
6721,12,12,direct
6721,14,14,direct
6721,23,23,direct
6721,33,33,direct
6721,342,342,direct
6721,590,590,direct
6751,1,1,direct
6751,4,4,direct
6751,96,96,direct
6811,3,3,direct
6811,4,4,direct
6818,1,1,direct
6818,3,3,direct
6818,5,5,direct
6818,7,7,direct
6818,8,8,direct
6820,2,2,direct
6820,3,3,direct
6820,6,6,direct
6820,12,12,direct
6820,24,589,ancestor
6820,589,589,direct
6851,3,3,direct
6851,24,24,direct
6851,33,33,direct
6858,90,90,direct
6858,181,181,direct
6859,1,1,direct
6859,2,2,direct
6859,3,3,direct
6859,7,7,direct
6859,126,126,direct
6876,3,3,direct
6876,14,14,direct
6876,27,27,direct
6876,50,50,direct
6876,93,93,direct
6876,276,276,direct
6876,382,382,direct
6897,1,1,direct
6897,3,3,direct
6915,90,90,direct
6921,2,2,direct
6921,12,12,direct
6929,2,2,direct
6929,18,18,direct
6974,15,15,direct
6974,24,15,ancestor
6982,1,1,direct
6982,40,40,direct
6996,1,1,split
6996,2,2,split
6996,3,3,split
6996,11,11,split
6996,50,50,split
6996,58,58,direct
7009,1,1,direct
7009,108,108,direct
7022,2,2,direct
7030,1,1,direct
7030,2,2,direct
7030,110,110,direct
7034,2,2,direct
7034,29,29,direct
7087,2,2,direct
7087,238,238,direct
7102,2,2,direct
7102,81,81,direct
7102,83,83,direct
7139,2,2,direct
7139,3,3,direct
7139,19,19,direct
7139,91,91,direct
7145,1,1,direct
7145,2,2,direct
7145,3,3,direct
7153,1,1,direct
7153,2,2,direct
7153,3,3,direct
7153,9,9,direct
7153,23,23,direct
7153,27,27,direct
7173,2,2,direct
7173,11,11,direct
7175,1,1,direct
7175,2,2,direct
7175,3,3,direct
7212,2,2,direct
7212,3,3,direct
7212,11,11,direct
7212,50,50,direct
7212,83,83,direct
7212,171,171,direct
7229,46,46,direct
7235,12,12,direct
7235,72,72,direct
7258,7,7,direct
7258,15,15,direct
7258,24,15,ancestor
7258,164,164,direct
7284,1,1,direct
7284,3,3,direct
7288,2,2,direct
7288,230,230,direct
7288,244,244,direct
7292,2,2,direct
7292,3,3,direct
7304,2,2,direct
7304,11,11,direct
7304,110,110,direct
7304,181,181,direct
7315,1,1,split
7315,3,3,split
7315,7,7,direct
7335,7,7,direct
7335,19,19,direct
7351,2,2,direct
7351,3,3,direct
7351,12,12,direct
7351,58,250,ancestor
7351,250,250,direct
7364,2,2,direct
7364,3,3,direct
7364,4,4,direct
7368,1,1,direct
7368,2,2,direct
7368,3,3,direct
7368,19,19,direct
7368,83,83,direct
7382,1,1,direct
7382,2,2,direct
7382,6,6,direct
7382,41,41,direct
7382,49,49,direct
7382,590,41,ancestor
7415,2,2,direct
7415,14,14,direct
7434,1,1,direct
7434,2,2,direct
7434,3,3,direct
7434,11,11,direct
7441,20,20,direct
7471,1,1,direct
7471,2,2,direct
7471,3,3,direct
7471,9,9,direct
7471,78,78,direct
7475,1,1,direct
7475,2,2,direct
7475,3,3,direct
7475,9,9,direct
7475,50,50,direct
7492,2,2,direct
7492,3,3,direct
7492,9,9,direct
7492,22,22,direct
7492,24,589,ancestor
7492,589,589,direct
7507,7,7,direct
7507,19,19,direct
7514,2,2,direct
7514,3,3,direct
7514,6,6,direct
7514,19,19,direct
7514,23,23,direct
7586,1,1,direct
7586,7,7,direct
7586,14,14,direct
7586,33,33,direct
7586,41,41,direct
7586,44,44,direct
7586,69,69,direct
7586,590,41,ancestor
7611,2,2,direct
7714,3,3,direct
7714,4,4,direct
7714,52,52,direct
7714,108,108,direct
7723,19,19,direct
7730,7,7,direct
7730,24,589,ancestor
7730,589,589,direct
7779,145,145,direct
7787,7,7,direct
7787,14,14,direct
7787,53,53,direct
7790,1,1,direct
7790,2,2,direct
7790,46,46,direct
7792,1,1,direct
7792,2,2,direct
7792,3,3,direct
7792,421,421,direct
7794,1,1,direct
7794,2,2,direct
7794,110,110,direct
7813,1,1,direct
7813,2,2,direct
7813,6,6,direct
7813,11,11,direct
7813,85,85,direct
7818,1,1,direct
7818,14,14,direct
7827,3,3,direct
7827,24,24,direct
7827,56,56,direct
7832,6,6,direct
7837,1,1,direct
7837,3,3,direct
