name,usage_count,category,category_major,category_sub,nutrition_match,nutrition_source_name,可食部%,水分g,能量kcal,能量kJ,蛋白质g,脂肪g,碳水化合物g,膳食纤维g,胆固醇mg,灰分g,维生素A(ugRE),胡萝卜素(ug),视黄醇(ug),硫胺素mg,核黄素mg,烟酸mg,维生素Cmg,维生素E总mg,钙mg,磷mg,钾mg,钠mg,镁mg,铁mg,锌mg,硒(ug),铜mg,锰mg,tcm_name,tcm_taste,tcm_user,tcm_not_user,tcm_side_effects,tcm_toxicity,tcm_production_place,category_source,quality
意大利蝴蝶面,3,谷类及其制品-谷物,谷类及其制品,谷物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
一人鸡蛋,3,禽肉类及其制品-禽肉,禽肉类及其制品,禽肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
维他奶,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
罗勒草,3,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
都行虾仁,3,鱼虾蟹贝类-水产,鱼虾蟹贝类,水产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
味干酪,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
榴莲榴莲,3,水果类及其制品-水果,水果类及其制品,水果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
毛虾,3,鱼虾蟹贝类-水产,鱼虾蟹贝类,水产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
纯甄酸牛奶,3,其他-饮品,其他,饮品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
虾汤,3,鱼虾蟹贝类-水产,鱼虾蟹贝类,水产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
莴苣叶,3,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,莴苣叶,,,,,,,nutrition_table,tail
小食,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
贝壳面,3,鱼虾蟹贝类-水产,鱼虾蟹贝类,水产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
截黄瓜,3,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
韭菜叶子,3,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
南极磷虾,3,鱼虾蟹贝类-水产,鱼虾蟹贝类,水产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南极磷虾,,,,,,,nutrition_table,tail
排牛肉,3,畜肉类及其制品-畜肉,畜肉类及其制品,畜肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
农夫山泉矿泉水,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
踏板鱼,3,鱼虾蟹贝类-水产,鱼虾蟹贝类,水产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
五常米,3,谷类及其制品-谷物,谷类及其制品,谷物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五常米,,,,,,,nutrition_table,tail
台破壁机,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
食量刀削面,3,谷类及其制品-谷物,谷类及其制品,谷物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
冠利酸菜,3,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
长粒米,3,谷类及其制品-谷物,谷类及其制品,谷物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
千张切丝,3,干豆类及其制品-豆制品,干豆类及其制品,豆制品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
料面,3,谷类及其制品-谷物,谷类及其制品,谷物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
油豆泡,3,干豆类及其制品-豆制品,干豆类及其制品,豆制品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
少量蛋液,3,蛋类及其制品-蛋,蛋类及其制品,蛋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
益母草,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,益母草,,一般人都可食用。,阴虚血少、月经过多、寒滑泻利者禁服。,,,日本,nutrition_table,tail
意大利什香草,3,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
芦荟,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芦荟,,适宜便秘、十二指肠溃疡、痤疮、溃疡、心血管疾病、糖尿病、癌症、肥胖者的佳品。,脾胃虚寒、食少便溏及孕妇禁服。,,,南美洲的西印度群岛,nutrition_table,tail
板栗馅,3,坚果种子类-坚果种子,坚果种子类,坚果种子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
绿葡萄干,3,水果类及其制品-水果,水果类及其制品,水果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
干香茅,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
流沙馅,3,其他类-其他,其他类,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
节生姜,3,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
碎猪肉,3,畜肉类及其制品-畜肉,畜肉类及其制品,畜肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrition_table,tail
